,title,hits
369,하늘지기애견펜션 #태안 #안면도 🐾12살 강아지 형제,617
452,안면도 꽃 박람회~ #봄 #수국 #안면도 #shorts,616
299,[해루질]쭈꾸미의 생존방법.숨으면 절대찾을수없어요(안면도덤앤더머펜션)#아름다운청년,604
555,[낚시] 생새우 외수질낚시 이틀조행기. #안면도 #영목항 #낚시여행 #shorts,603
460,안면도에서 만난 신박한 아이템🚛-바다의 허수아비,602
478,안면도..마검포 해수욕장,602
283,안면도 구매항 우럭 좌대낚시 2022년 첫낚시,599
9,서해 태안에 오징어가 제철이라 어어니와 다녀왔습니다.,596
437,안면도 어느 오토캠핑장에서...,595
186,[오늘의요리]안면도펜션 정성가득 담은 아구찜(안면도덤앤더머펜션.010-2827-5552)#펜션운영브이로그#아름다운청년,595
511,#구매항낚시 #서해낚시 #안면도낚시 #좌대낚시 #구매항좌대 #안면도좌대 #선상낚시,585
270,안면도 대숙 채취과정 구매링크는 댓글에!!,585
399,#안면도 #나문재펜션 #나문재까페,582
425,안면도 주꾸미 갑오징어 워킹 애매한 조과 #안면도 #주꾸미 #갑오징어 #쭈갑낚시 #에깅,581
613,💥💥💥이렇게 큰 해삼은 첨봐💥💥💥소라도잡고!가리비도잡고!#안면행복낚시마트 #안면도 #태안 #해루질,577
241,#안면암 #안면도 #태안 #사모 #황영웅,576
237,태안 안면도 아일랜드 리솜 룸서비스 퓨그릴 씨스트로,563
80,안면도 꽃지해수욕장 5.15.,557
434,"안면도여행-안면암, 개국지, 대하랑꽃게랑해상교",556
523,안면도 꽂지해수욕장에서 dji mini3 pro 촬영~!!,551
518,[오늘의요리]말복날을 맞이하여 펜션에 오신 모든손님들과 함께 삼계탕을 먹습니다..(안면도덤앤더머펜션)#아름다운청년,547
552,"🇰🇷서해안 안면도, 바다 생선 조기 손질 Anmyeondo Island of Korea, 조기 croaker, yellow corbina[corvina] #BTS Nation 5",546
493,[해루질펜션]안면도덤앤더머펜션(010-2827-5552)직접잡은 해산물수족관 현재상황!선착순입니다.#아름다운청년,539
219,"서해랑 길, #안면도 꽃지 해수욕장",532
313,#안면도,529
362,안면도맛집 이런 곳이 있네요 ㅎㅎ,529
198,[안면도여행]안면도 삼봉해변 인생샷명소 갱지동굴(안면도덤앤더머펜션.010-2827-5552)#shorts#아름다운청년,526
261,[안면도여행]잘 알려지지않은 고즈넉한 안면도 장삼포해변(안면도덤앤더머펜션.010-2827-5552)#아름다운청년,525
202,"#shorts 원산안면대교, 보령해저터널, 영목항, 효자도, 안면도여행",524
626,1탄)안면도!!그곳은 광어밭이였다!!잡어도천국!!어복터진날!!!,520
322,안면도 해상팬션올때 잘 챙깁시다...,515
330,보령해저터널 지나 안면도해수욕장 겨울바다풍경 #shorts,513
266,[안면도숙소 : 안면도펜션] 달이 머무는 바다에서 오션뷰와 함께 힐링을⌯'▾'⌯,511
504,봉구와 함께 하는 꽃게탕♡(강아지방이 따로 있는 안면도해비알꽃게),510
284,🌷오색칼라튤립꽃길🌷태안세계튤립꽃박람회 안면도 꽃지공원/,503
201,"[shorts] 노을빛바다, 바다정원펜션 바다동, 서산펜션, 안면도펜션, 서산추천펜션",500
224,"안면도 “CAFE 858""🧇☕️ #안면도카페 #카페 #858 #와플 #맛집 #뷰맛집",497
539,[해루질체험]소라 쉽게줍는법.발로도 잡는답니다.(안면도덤앤더머펜션.010-2827-5552)#아름다운청년,492
285,안면도 꽃지해수욕장 #갈매기는 새우깡을 좋아해,491
190,"(shorts)어은돌리솜펜션, 안면도펜션, 태안펜션, 안면도추천펜션",482
109,[오늘의요리]안면도낚시! 바다가주신 풍요로움에 감사하며 잘먹겠습니다.(안면도덤앤더머펜션.010-2827-5552)#아름다운청년,480
211,[안면도여행]안면도덤앤더머펜션(010-2827-5552)의초보 어업인의 백사장항 낚시#펜션운영브이로그#아름다운청년,476
106,(낚시)안면도 오뚜기 좌대 영상입니다. #좌대낚시 #좌대 오뚜기좌대 #서해낚시,470
505,닻별가 (박서진)#shorts #안면도 세계 꽃 박람회,464
207,#꽃지해수욕장 #안면도,460
564,안면도웨스턴백사장오토캠핑장,451
218,"[shorts] 어은돌조약돌펜션, 태안추천펜션, 안면도추천펜션, 어은돌해수욕장",450
498,안면도 튤립축제,443
347,안면도 백사장 질주본능 #안면도ATV #꽃지레포츠 #태안여행 #shorts #아이브 #아이엠,439
181,#안면도 #삼봉해수욕장,433
529,안면도 퍼피21 애견펜션,433
480,#안면도즉석김#송화소금#안면도먹거리#구이김#김맛집#12봉3만원#24봉6만원무배,431
251,#가수현우 #처음처럼 #안면도수산물축제,429
320,#안면도 #꽃지해수욕장 #희자매,418
301,사람살려주세요!! #안면도#꽃지해수욕장#밀물#사람#물조심#서해바다#캠핑,416
188,태안 강아지가 좋아하는 단골여행지 🐾 안면도 하늘지기애견펜션 최애 오두막집,412
382,고향 안면도에 오면 늘 푸근하고 힘을 얻어갑니다.,408
204,안면도 광어 우럭 다운샷 ~출조!! 다운샷으로 다잡아 낚시~잡다 지치면 철수하는겨~더 잡으면 손질지옥 경험하게됨~ㅋ,401
119,#멍상의 시간 #바다멍 #안면도 #꽃지해수욕장 #wave #shorts,400
462,#태안꽃게 #안면도꽃게 #간장게장 #가수신나특공대 #집합,399
427,#안면도#꽃지해수욕장#동죽#동죽밭#이런광경#처음#리솜리조트#겨울여행#시부모님과여행중,399
408,#안면도 #가수현우 #김떡순,395
94,2023 태안 튤립축제.안면도 꽃지해수욕장 튤립축제,393
410,갑오징어 라면 안면도,390
528,백사장항#안면도#정박#유익,390
223,[안면도여행]안면도 플라워파크 튤립축제(안면도덤앤더머펜션.010-2827-5552)#아름다운청년,390
420,#안면도#우럭낚시#좌대낚시#구매항#무지개좌대#쇄골골절,390
76,[안면도여행]읍네가는길에 차한잔.밧개해변 PM:VIEW(안면도덤앤더머펜션)#아름다운청년,380
512,"안면도 서해 자연산-암,수 대하🦐",379
546,세계에서 가장 큰 개/안면도 튜울립꽃박람회,378
507,중매인 양도현의 섹스폰 #양도현 #섹스폰 #안면도 #수산시장 #양도현중매인#,377
232,[안면도여행]태안 세계튤립꽃 박람회 남미인디언공연(안면도덤앤더머펜션.010-2827-5552)#아름다운청년,376
524,"🇰🇷서해안 안면도, 바다 생선 조기 손질 Anmyeondo Island of Korea, 조기 croaker, yellow corbina[corvina] #BTS Nation 6e",370
305,안면도 소나무와 산수국 Happy time,366
358,안면도 꽂지해수욕장 튤립축제,364
176,#안면도오션캐슬까페 #오션뷰 #방포회타운한상차림#맛스러움#해삼내장 #와다 실컷먹을수있는곳,362
143,안면도 꽃지해수욕장 할미할아비바위 리뷰,360
138,안면도 여행 안면도 영목항 전망대 드디어 개관 🥳🥳🥳 태안여행 여기부터 시작하시거나 마무리 하시면 됩니다! #안면도전망대 #영목항전망대 #태안여행 #안면도여행 #멜로우데이즈,360
249,안면도여행 꽃지해수욕장 해변걷기,359
112,"2023 태안 세계 튤립축제, 안면도 꽃지 해수욕장",359
262,안면도 우럭배낚시 황금백호 타고 4시간 오전체험배낚시,358
418,[안말복]안면도펜션 세상 부러울것 없는 재벌집 막네아들 수준의 삶을 사는 시골똥개(안면도덤앤더머펜션.010-2827-5552)#아름다운청년,356
199,"[안면도빵집]안면도에서 빵과 커피가 땡길때 백사장항""SO CAFE""강추!강추!가성비 최고예요(안면도덤앤더머펜션.010-2827-5552)#아름다운청년",356
634,나쁘게 살자!,356
426,#안면도나문재,355
157,"(토지206) 안면도바닷가옆토지, 태안안면도소재, 1,931(538), 투자용 으로 추천",350
315,#서산#안면도#태안#해변길#바다#힐링#걷기#운동#바람#시원한공기,344
200,#태안 #안면도#꾳지해변 튤립축제,343
318,안면도에서 ... #안면도 #꽃지해변 #방포해변 #제이세라 #가슴으로운다#하양이 #민트,341
146,#안면도 영목항 전망대#새날누리,340
137,"[안면도펜션]태안자염이 들어간 안면도명물 단짠단짠""안면도 대하소금초콜릿""(안면도덤앤더머펜션.010-2827-5552)#아름다운청년",338
367,#안면도#동죽#조개잡기,336
444,#안면도#해변길##4코스#솔모래길#바다#해변#모래#힐링#맑은공기#바람#소나무#걷기#운동#다이어트,327
128,멋지다 !! 바닷가 국내사찰 태안여행 안면도 안면암 Korean temple 국내여행 #shorts,324
171,해주호 낚시 조황!!! #배낚시 #안면도 #안면도펜션 #안면도여행,318
527,#안면도#나문재팬션#숙박#일출#일몰#꽃지#힐링,316
372,벽난로펜션 안면도펜션 비포선셋펜션,313
105,태안반도에 동시다발 태양광 신청..쪼개기 의혹도｜ TJB 대전·세종·충남뉴스,312
337,[안면도맛집]지극히 주관적인 내돈내산 안면도3대 짬뽕맛집(안면도덤앤더머펜션.010-2827-5552)#아름다운청년,312
234,태안 안면도 꽃게다리 드론영상,309
298,🦐안면도 자연산 대하🦐콜라🥤페트병 길이정도 기본아냐?🐶 #대하 #수산물 #안면도,308
397,"안면도게스트하우스, 안면도펜션 낭만 불멍 스팟",305
644,아빠랑 놀러와서 좋은 수아♡ #딸바보가되는이유 #9개월아기 #안면도 #1박2일여행,302
117,안면도바다앞 #shorts,301
550,안면도와 보령을 연결하는 원산 안면 대교,298
101,#안면도 #꽃지해수욕장,298
380,[안면도펜션]안면읍 행복기부 명예의 전당 헌액! 202번째 기부자!(안면도덤앤더머펜션)#아름다운청년,288
149,안면도 백사장항에서 잡아올린🦀봄철 암꽃게로 만든-간장게장은 다르네,286
436,#shots 태안코리아플라워꽃축제#안면도꽃축제#꽃길#분수#작품#꽃,285
567,안면도 수국축제 50대도 순수할 수 있다. #shortsㆍ,285
579,[해루질]안면도앞바다에 아직크지않은 꽁치가 너무 많네요.이제 곧 먼바다로 나가겠지요(안면도덤앤더머펜션)#아름다운청년,284
239,#안면도 #안면도시인 #첫사랑그님 [인기가요] 첫사랑 그님 /박정현 작사 / 이현준 작곡 / 윤혜란 노래,283
173,"[shorts] 나리와꽃창포, 태안펜션, 안면도펜션, 청포대펜션, 태안추천펜션",282
87,[안면도여행]안면도 가볼만한곳!안면암&부상탑.안가보면 100%후회!(안면도덤앤더머펜션.010-2827-5552)#아름다운청년,280
432,#샛별해수욕장#안면도#낙조#일몰,279
125,#꽃지해수욕장 #태안가볼만한곳 #태안여행 #안면도가볼먀한곳 #안면도여행 #일몰명소,278
536,#혼여 #djimini3pro #dji미니3프로 #드론항공샷 #안면도 #꽃지해수욕장 #할미할아비바위 #shorts,277
348,230203 우리가족 1박2일안면도 여행💕,276
377,굴이 쏴라있네~~#안면도#영목항#궅밭#갯벌체험#갯벌놀이#서해바다#캠핑중#차박캠핑,275
549,돈까스 맛없으면 환불(연돈 앞 맛 테스트 결과) 태안카페 안면도맛집 모켄뮤지엄카페,272
287,[안면도여행]태안8경 꽃지해변의밤 일루미네이션(안면도덤앤더머펜션.010-2827-5552) #아름다운청년 #shorts,271
494,아이들과 안면도 여행의 추억_그대라는 사치,266
114,#안면도 #6살4살,266
458,#안면도#좌대낚시#우럭낚시#무지개좌대,262
622,서해 오션뷰 5만원 오토 캠핑장 선재오토캠핑장 민자씨 첫번째 이야기 #01,257
467,[오늘의요리]직접 잡아 더맛있는 개조개치즈구이(안면도덤앤더머펜션.010-2827-5552)#아름다운청년,257
394,아일랜드 리솜 #태안 #안면도 #shorts,254
185,꽃구경 안면도 수목원 너무 좋아~ 국내여행 충남 가볼만한 곳 안면도 여행 #shorts,251
280,안면도 꽂지해수욕장🏝️ #안면도 #꽂지해수욕장 #할미바위 #해안공원 #아일랜드리솜 #방포항,246
135,#배낚시 #안면도 #안면도펜션 #안면도여행 #해주호 #안면도바다사랑 #안면도낚시 #안면도배낚시 #안면도바다낚시 해주호!!!! 배낚시,245
104,[바다여행] 안면도 백사장항 | 대전MBC 리나의 바다로 한 뼘 더,242
492,시사이 안면도 꽃박람회 공연,241
212,안면도 꽃지해수욕장 할미바위 할배바위,240
530,안면도 나문재 카페 #ABO정모 #차와디저트 #꽃길 #바다 # 산책,239
532,[이벤트]안면도덤앤더머펜션(010-2827-5552)저녁물때 좋아서(여섯물)하는 50%할인이벤트#아름다운청년,238
293,안면도 노지캠핑 2박3일시작,238
438,"[여행하는 혜자매] 꽃지해수욕장, 안면도, 모래사장, 바다소리, 봄바다, 바람소리, 자연...2022",234
366,#Shorts안면도 갈매기 쌀밥을 좋아해,233
576,조개가 비싼이유 ...안면도 갯벌체험🐚🐚#갯벌 #갯벌체험 #안면도 #안면도여행 #안면도맛집 #안면도갯벌체험 #태안여행 #태안갯벌체험 #태안맛집 #shell,231
519,아버님 어머님 모시고 안면도 #리솜 리조트&선셋스파눈이 계속 펑펑 내리고~~#석양도 굳이고 #겨울왕국이네..눈이 호강~~ 아무생각없이 잠시 멍~~🙂#리솜리조트#겨울왕국#석양#안면도,230
222,안면도 자연휴양림...,224
482,#안면도 #장민호#풍악을올려라,214
371,#신안_안면도 #튤립축제 #대광해수욕장 #깡통열차,214
544,안면도 수목원,211
260,#꽃지레포츠 #안면도여행 #안면도 #ATV #산악오토바이 #꿀잼,208
533,잉어밥주기💜#안면도#가족여행#차박여행#캠핑,206
254,"[shorts] 청포대해수욕장, 안면도여행, 태안여행, 태안추천여행_STAY (The Kid LAROI, Justin Bieber)",205
473,☀️해야해야🌞 #안면도 #노을 #샛별해수욕장 #해야 🌅 #shorts,204
303,안면도 꽃지해수욕장,204
307,안면도 바다,202
309,☆리즈지점 Re' 미☆ 안면도여행 둘째날 #날씨가미쳤어요#리즈지점 #안면도여행 #1박2일여행 #워크샵 #게국지 #꽃지해수욕장 #밧개해수욕장,201
454,#안면도#바다,199
509,일어나 안면도 시더스가맹점 아침일출,198
136,태안 안면도 백사장항 꽃게다리 가보시길~~,197
167,"[shorts] 나리와꽃창포, 안면도펜션, 태안펜션, 태안추천펜션",197
485,#대한회센터 #새우튀김 #오징어튀김 #안면도 #안면도여행,196
296,안면도 갯벌체험펜션❤명주조개❤조과 후기!!,193
217,#태안#해변길#다이어트#걷기#힐링#안면도#즐기기,193
74,UHD 갈매기도찾는 안면도근접 노지 소류지 휴가 짬낚 장소 NEXT LIVE 좋은방송 DH TV 제작 구독 좋아요,192
317,태안 안면도 동죽,191
591,아시아 pro 장어낚시. asia pro tv. 서산 태안 안면도 장어포인트 소개. eel fishing,190
281,안면도꽃지해수욕장,189
10,2023년 8월 21일 안면도 꽃게 스킨 해루질 서해,189
253,우리만의 추억남기기♡ #안면도 #안면도여행 #vllo #커플 #추억,183
385,안면도 방포해수욕장 노을진바다펜션,181
144,"23년도 사나이들의 우정여행, 안면도 1탄",177
469,겨울바다1(안면도-꽃지해변),176
329,리즈지점☆산타LC☆ 열심히 일한자 안면도로 떠나라!! #워크샵 #리즈지점 #안면도여행 #1박2일여행 #풀빌라,174
513,이화여고생.안면도봉사활동,173
561,SUNNY(임영웅)#shorts원곡가수(Boney M) #사랑의 콜센타 안면도 세계 튜울립 박람회,170
271,팜카밀레 튤립정원 #tulip #안면도여행 #태안여행 #팜카밀레 #gardening,169
428,[22.11.2] 안면도 황금백호 오후반 쭈꾸미 낚시 #쭈꾸미낚시 #낚시 #shorts,169
71,안면도 맛집에서 인기메뉴는?,168
398,#힐링여행 #안면도 #꽃지해수욕장 #NASA ㅋ,167
459,조개 진짜 많아요! #해루질 #해루질포인트 #안면도 #shorts,165
152,안면도 깡통열차 타기!충남 태안군 안면읍 꽃지해안로 204 아일랜드 리솜리조트앞 해변에서..#안면도 #깡통열차 #리솜리조트 #아일랜드리솜 #꽃지해수욕장,161
332,바다와 하늘이 너무 이뻐요 #shorts #안면도,161
308,국내 최대 규모 신두리해안사구 푸르른 곰솔림에서 바라보는 보석처럼 반짝이는 바다 태안해변길 바라길 태안해안국립공원 섬 바다 스탬프투어 National Park Stamp Tour,161
214,"(shorts) ""안면도 꽃지"" 2023 태안 세계튤립꽃박람회 (04.12~05.07)",159
182,🏖안면도 ATV&카트체험장-꽂지해수욕장 #안면도가볼만한곳 #fyp,159
451,안면도 꽃지해수욕장/김원중/바위섬,158
497,#아디아디챌린지#안면도영목항#ㅋㅋ,157
500,#안면도는졸리다! #조용히않해?! #안면도덤앤더머펜션 안면도군,156
295,"🇰🇷한국 서해안 안면도, 연육교식당 황태해장국 8,000원 생맥주 4,000원, 서해안 바닷가 드론 촬영 전문가 올림 팬션 원래 70,000원 깎아 주셔서 45,000원 5",155
345,안면도~,153
275,세월아 네월아~ #shorts #커플브이로그 #태안 #안면도,152
151,"충남 애견동반 여행(예산,안면도)",152
558,쿠키TV | 안면도여행 | 폭스테리어 | 빗속에서 신난 댕댕이 | 비+잔디=쿠레이지력 대상승 🤣|,151
356,꽃게탕끓여맛보세요 #안면도 #꽃게탕 #꽃게 #shorts,151
192,바닷길 in 태안 #안면암 #안면도 #태안여행 #풍경 #temple #바다소리 #파도소리,151
607,안면도 수미정(본점) 게국지 2인세트 너무 비쌈..5만원 정도면 적당할듯..,151
488,#안면도 스쿨버스 캠핑장,151
401,꽃지의 파도 #꽃지해수욕장 #안면도 #꽃지,150
466,[안면도펜션]눈이 또 많이 왔어요!雪がまたたくさん降りました。(안면도덤앤더머펜션.010-2827-5552) #shorts#아름다운청년,146
389,#vita #꽃지 #태안여행 #안면도 #조개구이 #한글날,145
623,2편))))9개월아기(수아)랑 안면도여행중..(맘 아팠던 사연..인터뷰..),144
386,이번주는 태안으로 떠나자 #안면도 #태안 #캠핑,144
476,"짱봉킹봉 여행 기록🚗(안면도,강릉)",143
169,[안면도여행]노을이 아름다운 장삼포앞바다(안면도덤앤더머펜션.010-2827-5552)#아름다운청년,142
383,안면도 겨울여행#shorts,139
593,1편)))))9개월아기 수아랑 1박2일 안면도여행 가면 생기는 일.... 찐 리얼육아,137
72,[vlog] 태안 안면도 1박2일 브이로그 (피엠뷰 카페 |방포항 주변 펜션 추천 | 승진횟집 | 전라도밥상 밥도둑|고추장삼겹살),136
453,"태안게스트하우스, 안면도게스트하우스 할로윈파티 GoGo",135
267,내가 사랑한 안면도 바다,135
600,#캠핑천국/차박의 생활화/안면도 꽃지해수욕장 & 방포항 차박 즐기기 #차박 #캠핑 #황영웅 #안면도 #서해안여행 #shorts,135
257,@(안면도 가족여행) 보령해저터널을 지나다,134
273,"안면도여행,,,,",134
422,일출#안면도#shorts,134
216,#번개불 확실히 본적있으세요? 밤바다위 번개불빛이! 안면도,133
142,🥳6월 1일에 개장했습니다 :) #영목항전망대 #안면도랜드마크 #안면도전망대 #태안여행 #안면도카페,131
390,안면도 꽃지해수욕장/이광조/나들이,130
531,치빠치빠 #해루질 #안면도 #shorts,128
183,태안가볼만한곳 안면도해수욕장 근처 초호화 풀빌라펜션추천 모켄리조트 입니다^^,127
407,안면도 튤립축제,127
423,안면도가볼만한곳 석양이 아름답고 천국의계단이있는 모켄리조트 뮤지엄카페,127
233,팜카밀레 봄 전경 #팜카밀레 #안면도여행 #태안여행 #gardening #,122
248,#국내여행 #황도 #안면도 #태안 #바다,120
608,태안 “ 공원회관 ” 생삼겹살 맛집 원북면 여행중 찾은 숨은맛집 ! 여지친구가 좋아하네요~,120
282,happyhalloween 안면도펜션 할로윈포토존 안면도여행 캠핑스토리 서해펜션,119
269,안면도 꽃 축제전시장! 예쁜 꽃도보고 시원한 바다도 보고~ 연휴동안 꼭 가보세요^^,119
123,유유자적 충청도 힐링여행 안면도 둘러보기 【충청도1】,117
559,안면도 백사장항 꽃게다리 #안면도#서해#대하,116
551,#shorts 클래식과 함께 명화 감상~ | 안면도 오마이갤러리 반고흐 뮤지엄 | Van Gogh Museum,115
85,안면도가볼만한곳 !! 안면도여행코스 중 꼭 들러야 할 태안펜션 !!,112
543,슈퍼안산참깨 노지파종 #안면도 #꽃지 #파종기,108
191,안면도 가는길 “소나무 길”,107
140,@jjangnammae [짱남매] 짱남매의 슬기로운 여름생활!! (안면도 카트체험장&샛별해수욕장). 과연 어떤 일들이 기다리고 있을지 얼른 함께 보러가요 ^^,105
374,이건 아주 막 콱 그냥 소주가 들어가지. #태안 #안면도 #우럭젓국 #우럭,105
384,쌍걸이 파도타기#다운샷 #마검포 #선상낚시 #안면도 #갑오징어 #타이라바 #쭈꾸미 #태안 #외수질 #다잡아 #고고피싱 #고고피싱호,105
328,이팔청춘으로 돌아간듯😅😅😅. #나이는잊어라#안면도 #꽃지해수욕장 #인생여행 #바디디자이너_지원,105
323,안면도 꽃지해수욕장,104
352,안면도 드르니항 꽃게다리 야경 KOREAN FOOD,104
351,안면도꽃지해수욕장ㅋ,104
463,태안 “ 청솔콘도형민박 ” 태안펜션 태안숙소 태안민박 청포대해수욕장 인근 민박숙소 청결하네요~,102
477,안면도 꽃지해수욕장/할매바위와 할배바위,102
404,#서해안#안면도#솔모랫길#트레킹#몽산포#드로니항#걷기#건강지키기#20230205,101
651,"대한민국 충남 태안의 8월 아침바다 항공영상 편안한 음악 4k 바다영상 the morning sea of Taean, South Korea (Aviation Video)",101
225,[Shorts] 태안 안면도 꽃지해수욕장,101
246,해루질 노동요 ㅋㅋㅋ #해루질 #안면도 #꽃지해수욕장 #shorts #쇼츠,100
479,겨울바다2(안면도-꽃지해변의 선셋),100
604,카페아일/안면도 꽃지 해수욕장,99
196,가족여행 안면도수목원,97
487,안면도 튤립축제#shorts,97
406,안면도,95
653,얼굴 표정 하나 안바뀌고 춤 챌린지 댄스 포기하고 막춤ㅋㅋㅋ #shorts,94
461,#무서운파도 #안면도 #꽃지해수욕장 #shorts,94
316,백합 사냥중인 안면도 꽃지해수욕장의 갈메기,93
252,안면도 수목원 전망대에서 바라본 풍경,90
490,안면도 아일랜드 리솜 리조트 오락실에서 물총쏘기 시합! 헝아는 이길꺼야~ㅋ,90
174,"anmyeondo Kkotji Beach Sunset , 안면도 꽃지해변 일몰",89
89,안면도 영목항 전망대ㅣ원산안면대교 DRONE MOVIE 4K,89
557,안면도에서 크록하추기,88
625,봉식이랑 태안애견풀빌라 알로하오에 #baby #dog 강아지펜션 강아지풀빌라 안면도,88
342,[안면도]해산물이 풍부한 안면도! 벗이 있어 행복한 곳!,88
108,#충남태안 #안면도 #꽃지해수욕장 #할미할배바위 #서해안차박투어 #지프랭글러,87
486,그까이꺼 안면도에서 패션쇼 초대박 (자연과 사람과 작품이 하나 ♡),86
205,태안안면도 애견펜션추천지 #하늘지기 잔디운동장에서 뛰놀고 여름휴가 강아지형제 달콤한 단체 낮잠속으로,85
455,바닷가로! #연안부두#안면도#최hs#,85
417,꽃이 많네 🌸 코리아 플라워 파크4!!!!추천:안면도 꽃지 해수욕장 앞,84
649,유튜브 누구나 할수있지않을까 유튜브 시작한지 약 4주만에 5천회 찍은 영상 있는 비결(최근 하루 평균 1천회 넘는거 같음)(알고나면 허무함ㅋㅋ),83
325,안면도 일몰 #안면도 #서해일몰,82
619,2023.08.19. 꽃지의 마지막 해수욕장을 실방했다 #안면도 #시인 #꽃지해수욕장,81
209,안면도 개와 함께 산책을,81
620,"안면도의 부속 섬 황도의 전원주택지, 태안부동산, 안면도부동산, 태안토지,",80
587,[안면도펜션]동력수상레저기구 배 조종면허취득..이제 배만사면됩니다(안면도덤앤더머펜션)#아름다운청년,79
86,안면도 대형카페[트레블브레이크커피],79
115,안면도 튤립축제 다녀왔습니다.,75
311,안면도 꽂지해수욕장,75
302,태안 안면도 강아지형제 #여름휴가 #하늘지기애견펜션 잔디깍는날,75
240,붉은노을... #travel #캠핑 #여행 #꽂지#태안 #안면도 #차박 #석양 #노을 #sunset #바다 #sea,74
65,[vlog] 쀼 세계 안면도 여행 브이로그,73
139,안면도 수목원의 봄나들이,72
160,안면도,72
175,안면도와 홍성 여행 시 자주 가는 명품 한우 전문점 #꽃잎이 지기 전에_첸CHEN,71
49,[Vlog.]안면도 브이로그ㅣ샛별해수욕장 ㅣ게국지 ㅣ드론영상ㅣ커플여행 ㅣ7월 여행지 추천,70
236,"울지 않는 매미, 폭염이 왔는데..내가 왔다고 안 우니. 울어라, 마음껏 여름에는 그래야 후회 안할거 아니니..",70
647,패밀리가 떴다🔥 배 꼽 잡아..!!! 물에 뿔어서 터질때까지 놀자!! 3대 열정 패밀리ep1 |#퍼프대디챌린지 #열정 #vlog |,69
421,안면도 꽃지해수욕장 할매바위와 할배바위,68
439,#아일랜드리솜 #꽃지해수욕장 #안면도,67
445,#태안#안면도#운여해변일몰#shorts,67
641,My Drive Trip #4 한적한 시골 도로 드라이브 / #행복 #드라이브영상 #주행,66
378,안면도 웨스턴백사장 오토캠핑장 썸머페스티벌~,65
468,"(생후23개월) 엄마,아빠와 안면도 여행(아일랜드 리솜)👨‍👩‍👧",65
259,봄 추천여행지 안면도 꽃지 드론뷰,64
621,"섬 속의 섬 황도의 대형 펜션부지, 태안부동산, 안면도부동산, 태안토지",64
472,임영웅 인생찬가 #안면도 가는 길,62
614,"안면도의 시원하고 통쾌한 밭, 태안부동산, 안면도부동산,",61
163,안면도 꽃지해수욕장 | 안면도 해변,61
375,#안면도#해루질#키조개#갑오징어낚시 #문어낚시 #쭈꾸미낚시 #생활낚시 #원산도 #,61
244,안면도여행 캠핑스토리 오늘도 예쁨,60
286,즐거운나들이 #안면도#제주도#북한산,58
464,바람아래해수욕장 가는길#바람아래해수욕장#안면도#라이딩#영목항#영목항전망대,58
630,8K 주행영상 보령해저터널 DRIVING UNDERSEA TUNNEL IN KOREA ROAD ASMR,58
220,#서해여행 #태안 #안면도 #꽃게다리2#푸른하늘 [st.6],57
582,"🏖""1박 2일"" 태안 안면도 여행 VLOG🌊",56
180,🌷2023 태안 안면도 세계 튤립 축제 안면도 꽃박람회 #shots #jimin #likecrazy,56
475,[Break Time] 게싸움 #shorts #안면도 #싸움 #외발게 #여행 #가을 #가을여행,56
503,봄ㆍ안면도 꽂지해수욕장,55
615,갈매기 멋있네..꽃지 안면도,54
197,해질녘 안면도 꽃지해수욕장 겨울바다 #shorts,53
194,#서해여행#태안안면도#백사장항#드르니항#꽃게다리#푸른하늘 [st.5],53
578,"(1디모테오서 6장) ""우리는 이 세상에 아무것도 가지고 오지 않았으며 이 세상에서 아무것도 가지고 갈 수 없습니다.""",53
238,안면도 꽃지해변의 석양,52
373,은하철도 999#안면도#,52
601,꽃지해수욕장 나들이 #버스킹 #안면도 #꽃지 #참깨 #서리태,50
376,6월 안면도 오후 바닷가 풍경~^^,50
584,안면도 여행,48
537,#태안여행#안면도#나문재카페#다섯자매#shorts,47
548,저녁노을... #travel #캠핑 #여행 #태안 #꽂지 #안면도 #차박 #sunset #석양 #노을,46
184,불가사리는 생각보다 무겁다.. #태안군 #안면도 #바다 #낚시 #원투낚시 #여행,46
336,초보도 가능한 안면도 우럭배낚시 오후4시간 체험낚시,46
457,새참 안면도 점심 밭에서먹는식사 #안면도 #꽃지 #식사 #참깨 #서리태 2022년 9월 3일,46
636,[합덕맛집] 옛날통닭 췰스,46
154,고고피싱호 우럭조황^^#다운샷 #마검포 #선상낚시 #안면도 #갑오징어 #타이라바 #쭈꾸미 #태안 #외수질 #다잡아 #고고피싱 #고고피싱호,45
515,#안면도 #삼봉해변_노을 #석양,44
124,안면도/태안가볼만한곳 추천합니다 고객님들의 즐거운 여행을 선사할 모켄리조트 ^^,43
344,19일 사리물 #태안군 #안면도 언제든지오셔요 #김용필전도의원 #태안여행 #태안맛집,43
164,23.6.8안면도라이딩,42
276,안면도 수영장 펜션 '바하캘리포니아 펜션',42
187,안면도/영목항 전인옥 가수 귀요미 송이품바 버스킹,42
449,방포해수욕장#방포해수욕장#태안군#안면도,41
279,"영목항일출, 안면도일출, 안면원산대교일출",40
602,안면도 반려견동반 펜션에서 유배당했다,40
435,안면도 지나오는 길에 연꽃이 만발했다. 이렇게 넓은곳은 처음이다. 가까이 가고싶었는데 아쉽다. 그래서 더 화려한것 같다. #안면도 #연꽃,39
235,안면도가족여행,39
